Ref,Val,Package,PosX,PosY,Rot,Side
"C1","3.3u","C_0603_1608Metric",4.000000,5.500000,0.000000,top
"C2","3.3u","C_0603_1608Metric",21.872000,8.454000,0.000000,top
"C3","3.3u","C_0603_1608Metric",25.400000,23.300000,90.000000,top
"C4","3.3u","C_0603_1608Metric",25.800000,33.000000,-90.000000,top
"C5","10pF","C_0603_1608Metric",12.250000,31.250000,180.000000,top
"C6","3.3u","C_0603_1608Metric",16.250000,48.676000,90.000000,top
"C7","3.3u","C_0603_1608Metric",24.000000,50.800000,0.000000,top
"C8","3.3u","C_0603_1608Metric",16.250000,45.120000,90.000000,top
"C9","3.3u","C_0603_1608Metric",16.256000,41.564000,-90.000000,top
"C10","3.3u","C_0603_1608Metric",19.050000,50.784200,0.000000,top
"C11","10pF","C_0603_1608Metric",12.250000,25.250000,0.000000,top
"C12","3.3u","C_0603_1608Metric",4.000000,3.500000,0.000000,top
"D1","B3173BGR-20C0001Q3U1930","B3173BGR-20C0001Q3U1930",1.250000,30.000000,180.000000,top
"F1","500mA","Fuse_1206_3216Metric",24.920000,5.914000,-90.000000,top
"J1","DIN8","DIN8",0.000000,44.300000,90.000000,top
"J2","USB1035","USB1035",7.580000,13.750000,-90.000000,top
"J3","DIN8","DIN8",40.000000,10.700000,-90.000000,top
"J4","DE9","DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm",29.069669,42.350000,90.000000,top
"J5","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",17.681000,37.156000,90.000000,top
"RN1","1K","R_Array_Convex_4x0603",13.000000,34.500000,-90.000000,top
"RN2","1K","R_Array_Convex_4x0603",24.920000,12.518000,180.000000,top
"RN3","150","R_Array_Convex_4x0603",3.000000,23.000000,-90.000000,top
"S1","RATACSWITCH","TS11",6.000000,30.000000,-90.000000,top
"U1","CH559L-less","QFP-12x12_14x14_Pitch0.5mm",20.602000,28.065000,-90.000000,top
"U2","MAX232","SOIC-16_3.9x9.9mm_P1.27mm",21.750000,44.266200,0.000000,top
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",12.250000,28.250000,-90.000000,top
