"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"N1";"Enclosure";1;"Housing";;;
2;"C4,C7,C1,C6,C10,C9,C2,C3,C8";"C_0603_1608Metric";9;"3.3u";;;
3;"C11,C5";"C_0603_1608Metric";2;"10pF";;;
4;"J3,J1";"DIN8";2;"DIN8";;;
5;"D1";"B3173BGR-20C0001Q3U1930";1;"B3173BGR-20C0001Q3U1930";;;
6;"RN3";"R_Array_Convex_4x1206";1;"150";;;
7;"RN1,RN2";"R_Array_Convex_4x1206";2;"1K";;;
8;"J2";"USB1035";1;"USB1035";;;
9;"U1";"QFP-12x12_14x14_Pitch0.5mm";1;"CH559L-less";;;
10;"U2";"SOIC-16_3.9x9.9mm_P1.27mm";1;"MAX232";;;
11;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
12;"S1";"TS11";1;"RATACSWITCH";;;
13;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
14;"J4";"DSUB-9_Female_Horizontal_P2.77x2.84mm_EdgePinOffset7.70mm_Housed_MountingHolesOffset9.12mm";1;"DE9";;;
15;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
